,Depth of Cut,Cutting Speed,Feed Rate,Surface Roughness
Balamugundan 2012 1,1,1000,100,3.52
Balamugundan 2012 2,1,1500,150,3.27
Balamugundan 2012 3,1,2000,200,3.26
Balamugundan 2012 4,2,1000,150,3.67
Balamugundan 2012 5,2,1500,200,4.28
Balamugundan 2012 6,2,2000,100,5.94
Balamugundan 2012 7,3,1000,200,3.79
Balamugundan 2012 8,3,1500,100,5.98
Balamugundan 2012 9,3,2000,150,4.53
Yang 2009 1,1.5,160,0.1,1.1267
Yang 2009 2,1.5,240,0.1,1.0125
Yang 2009 3,1.5,160,0.2,2.5405
Yang 2009 4,1.5,240,0.2,2.3631
Yang 2009 5,4.5,160,0.1,1.4358
Yang 2009 6,4.5,240,0.1,1.1089
Yang 2009 7,4.5,160,0.2,2.2872
Yang 2009 8,4.5,240,0.2,2.6411
Maiyar 2013 1,0.2,25,0.06,0.21
Maiyar 2013 2,0.4,25,0.09,0.25
Maiyar 2013 3,0.6,25,0.12,0.29
Maiyar 2013 4,0.4,50,0.06,0.2
Maiyar 2013 5,0.6,50,0.09,0.27
Maiyar 2013 6,0.2,50,0.12,0.27
Maiyar 2013 7,0.6,75,0.06,0.21
Maiyar 2013 8,0.2,75,0.09,0.23
Maiyar 2013 9,0.4,5,0.12,0.27
Sreenivasulu 2013 1,0.5,1000,200,2.63
Sreenivasulu 2013 2,1,1000,300,5.306
Sreenivasulu 2013 3,1.5,1000,400,3.81
Sreenivasulu 2013 4,1,1250,200,5.178
Sreenivasulu 2013 5,1.5,1250,300,2.066
Sreenivasulu 2013 6,0.5,1250,400,6.192
Sreenivasulu 2013 7,1.5,1500,200,3.266
Sreenivasulu 2013 8,1,1500,300,8.67
Sreenivasulu 2013 9,0.5,1500,400,3.852
Pang 2014 1,0.4,500,20,1.15
Pang 2014 2,0.4,500,40,1.94
Pang 2014 3,0.4,500,60,1.18
Pang 2014 4,0.4,1000,80,0.96
Pang 2014 5,0.4,1000,100,0.62
Pang 2014 6,0.4,1000,120,0.77
Pang 2014 7,0.4,1500,140,1.06
Pang 2014 8,0.4,1500,160,0.36
Pang 2014 9,0.4,1500,180,0.29
Pang 2014 10,0.6,500,20,1.43
Pang 2014 11,0.6,500,40,0.89
Pang 2014 12,0.6,500,60,1.28
Pang 2014 13,0.6,1000,80,1.1
Pang 2014 14,0.6,1000,100,0.86
Pang 2014 15,0.6,1000,120,0.77
Pang 2014 16,0.6,1500,140,0.37
Pang 2014 17,0.6,1500,160,0.63
Pang 2014 18,0.6,1500,180,0.84
Pang 2014 19,0.8,500,20,1.14
Pang 2014 20,0.8,500,40,1.8
Pang 2014 21,0.8,500,60,1.81
Pang 2014 22,0.8,1000,80,1.15
